timestamp,x,y,button,event,delta
2026-04-22T04:16:41.401,1158,795,left,mousedown,0
2026-04-22T04:16:41.505,1158,795,left,mouseup,0
2026-04-22T04:16:43.010,1125,690,wheel_v,wheel,-120
2026-04-22T04:16:43.052,1126,693,wheel_v,wheel,-120
2026-04-22T04:16:43.102,1126,693,wheel_v,wheel,-120
2026-04-22T04:16:43.702,1126,693,wheel_v,wheel,120
2026-04-22T04:16:44.459,1452,213,left,mousedown,0
2026-04-22T04:16:44.527,1452,214,left,mouseup,0
2026-04-22T04:16:45.324,1815,774,left,mousedown,0
2026-04-22T04:16:45.392,1815,774,left,mouseup,0
2026-04-22T04:16:47.520,1142,1004,left,mousedown,0
2026-04-22T04:16:47.679,1143,1004,left,mouseup,0
2026-04-22T04:16:48.519,1117,911,wheel_v,wheel,-120
2026-04-22T04:16:48.533,1116,912,wheel_v,wheel,-360
2026-04-22T04:16:48.538,1116,912,wheel_v,wheel,-480
2026-04-22T04:16:48.559,1116,915,wheel_v,wheel,-360
2026-04-22T04:16:49.132,1132,883,wheel_v,wheel,-131
2026-04-22T04:16:49.176,1132,883,wheel_v,wheel,-131
2026-04-22T04:16:49.214,1132,883,wheel_v,wheel,-262
2026-04-22T04:16:49.249,1132,883,wheel_v,wheel,-262
2026-04-22T04:16:52.466,1137,873,wheel_v,wheel,120
2026-04-22T04:16:52.725,1137,873,wheel_v,wheel,120
2026-04-22T04:16:53.894,1137,873,wheel_v,wheel,120
2026-04-22T04:16:53.957,1137,873,wheel_v,wheel,120
2026-04-22T04:16:54.189,1137,873,wheel_v,wheel,120
2026-04-22T04:16:54.209,1137,873,wheel_v,wheel,600
2026-04-22T04:16:54.226,1137,873,wheel_v,wheel,600
2026-04-22T04:16:54.279,1137,873,wheel_v,wheel,240
2026-04-22T04:16:54.472,1137,873,wheel_v,wheel,144
2026-04-22T04:16:54.495,1137,873,wheel_v,wheel,722
2026-04-22T04:16:54.521,1137,873,wheel_v,wheel,433
2026-04-22T04:16:55.356,1137,873,wheel_v,wheel,120
2026-04-22T04:16:55.390,1137,873,wheel_v,wheel,360
2026-04-22T04:16:55.916,1137,873,wheel_v,wheel,120
2026-04-22T04:16:55.943,1137,873,wheel_v,wheel,360
2026-04-22T04:16:55.997,1137,873,wheel_v,wheel,240
2026-04-22T04:16:56.351,1137,873,wheel_v,wheel,120
2026-04-22T04:16:56.373,1137,873,wheel_v,wheel,600
2026-04-22T04:16:56.400,1137,873,wheel_v,wheel,360
2026-04-22T04:16:56.715,1137,873,wheel_v,wheel,144
2026-04-22T04:16:56.738,1137,873,wheel_v,wheel,433
2026-04-22T04:16:56.806,1137,873,wheel_v,wheel,144
2026-04-22T04:16:57.332,1118,692,wheel_v,wheel,144
2026-04-22T04:16:57.375,1107,672,wheel_v,wheel,288
2026-04-22T04:16:57.442,1099,641,wheel_v,wheel,144
2026-04-22T04:16:57.552,1099,590,wheel_v,wheel,144
2026-04-22T04:16:59.255,973,486,right,mousedown,0
2026-04-22T04:17:00.671,955,522,right,mouseup,0
2026-04-22T04:17:00.830,955,523,wheel_v,wheel,-120
2026-04-22T04:17:00.855,955,523,wheel_v,wheel,-360
2026-04-22T04:17:00.869,955,523,wheel_v,wheel,-360
2026-04-22T04:17:00.898,955,523,wheel_v,wheel,-240
2026-04-22T04:17:01.534,1089,613,right,mousedown,0
2026-04-22T04:17:02.096,1030,633,right,mouseup,0
2026-04-22T04:17:02.291,1040,610,wheel_v,wheel,-120
2026-04-22T04:17:02.323,1040,610,wheel_v,wheel,-240
2026-04-22T04:17:02.346,1040,610,wheel_v,wheel,-240
2026-04-22T04:17:02.396,1040,610,wheel_v,wheel,-120
2026-04-22T04:17:02.947,952,592,right,mousedown,0
2026-04-22T04:17:03.450,949,599,right,mouseup,0
2026-04-22T04:17:03.977,1077,510,wheel_v,wheel,-120
2026-04-22T04:17:04.190,1077,512,wheel_v,wheel,-120
2026-04-22T04:17:04.211,1077,512,wheel_v,wheel,-360
2026-04-22T04:17:04.245,1077,513,wheel_v,wheel,-240
2026-04-22T04:17:04.432,1077,514,wheel_v,wheel,-131
2026-04-22T04:17:04.464,1077,514,wheel_v,wheel,-262
2026-04-22T04:17:05.204,1100,604,wheel_v,wheel,-131
2026-04-22T04:17:05.259,1102,617,wheel_v,wheel,-131
2026-04-22T04:17:05.346,1102,636,wheel_v,wheel,-131
2026-04-22T04:17:05.639,1052,689,wheel_v,wheel,-120
2026-04-22T04:17:06.048,902,697,wheel_v,wheel,-120
2026-04-22T04:17:06.093,947,720,wheel_v,wheel,-240
2026-04-22T04:17:06.117,959,724,wheel_v,wheel,-240
2026-04-22T04:17:06.146,959,724,wheel_v,wheel,-240
2026-04-22T04:17:06.850,848,824,wheel_v,wheel,-120
2026-04-22T04:17:06.887,848,824,wheel_v,wheel,-240
2026-04-22T04:17:08.055,962,941,left,mousedown,0
2026-04-22T04:17:08.167,962,941,left,mouseup,0
2026-04-22T04:17:09.210,798,707,left,mousedown,0
2026-04-22T04:17:09.291,798,707,left,mouseup,0
2026-04-22T04:17:17.506,416,1006,left,mousedown,0
2026-04-22T04:17:17.624,416,1006,left,mouseup,0
2026-04-22T04:17:17.847,655,681,left,mousedown,0
2026-04-22T04:17:17.917,655,681,left,mouseup,0
2026-04-22T04:17:18.282,820,917,left,mousedown,0
2026-04-22T04:17:18.376,820,917,left,mouseup,0
2026-04-22T04:17:19.034,1789,762,left,mousedown,0
2026-04-22T04:17:19.128,1790,762,left,mouseup,0
2026-04-22T04:17:19.798,1111,951,left,mousedown,0
2026-04-22T04:17:19.888,1111,951,left,mouseup,0
2026-04-22T04:17:21.236,1215,650,left,mousedown,0
2026-04-22T04:17:21.309,1215,650,left,mouseup,0
2026-04-22T04:17:21.941,558,981,left,mousedown,0
2026-04-22T04:17:22.022,559,981,left,mouseup,0
2026-04-22T04:17:23.162,621,963,left,mousedown,0
2026-04-22T04:17:23.231,644,950,left,mouseup,0
2026-04-22T04:17:23.748,1219,678,left,mousedown,0
2026-04-22T04:17:23.819,1219,678,left,mouseup,0
2026-04-22T04:17:24.496,1669,900,left,mousedown,0
2026-04-22T04:17:24.576,1670,900,left,mouseup,0
2026-04-22T04:17:34.610,770,989,left,mousedown,0
2026-04-22T04:17:34.699,770,988,left,mouseup,0
2026-04-22T04:17:35.529,1311,661,left,mousedown,0
2026-04-22T04:17:35.606,1312,661,left,mouseup,0
2026-04-22T04:17:37.671,1181,961,left,mousedown,0
2026-04-22T04:17:37.786,1168,913,left,mouseup,0
2026-04-22T04:17:37.894,962,537,left,mousedown,0
2026-04-22T04:17:37.986,961,549,left,mouseup,0
2026-04-22T04:17:40.128,743,894,left,mousedown,0
2026-04-22T04:17:40.513,744,894,left,mouseup,0
2026-04-22T04:17:40.899,789,692,left,mousedown,0
2026-04-22T04:17:40.994,786,740,left,mouseup,0
2026-04-22T04:17:41.133,808,891,left,mousedown,0
2026-04-22T04:17:41.241,812,889,left,mouseup,0
2026-04-22T04:17:41.659,1353,596,left,mousedown,0
2026-04-22T04:17:41.743,1353,596,left,mouseup,0
2026-04-22T04:17:43.146,1688,876,left,mousedown,0
2026-04-22T04:17:43.289,1689,876,left,mouseup,0
2026-04-22T04:17:52.641,768,899,left,mousedown,0
2026-04-22T04:17:52.779,777,909,left,mouseup,0
2026-04-22T04:17:52.913,803,654,left,mousedown,0
2026-04-22T04:17:53.013,803,654,left,mouseup,0
2026-04-22T04:17:53.409,665,973,left,mousedown,0
2026-04-22T04:17:53.524,680,941,left,mouseup,0
2026-04-22T04:17:53.632,767,632,left,mousedown,0
2026-04-22T04:17:53.736,767,631,left,mouseup,0
2026-04-22T04:17:54.277,833,929,left,mousedown,0
2026-04-22T04:17:54.384,837,922,left,mouseup,0
2026-04-22T04:17:55.029,1285,675,left,mousedown,0
2026-04-22T04:17:55.130,1284,675,left,mouseup,0
2026-04-22T04:17:56.063,1687,879,left,mousedown,0
2026-04-22T04:17:56.271,1687,879,left,mouseup,0
2026-04-22T04:18:04.067,621,969,left,mousedown,0
2026-04-22T04:18:04.189,629,940,left,mouseup,0
2026-04-22T04:18:04.394,780,671,left,mousedown,0
2026-04-22T04:18:04.491,780,671,left,mouseup,0
2026-04-22T04:18:04.952,630,972,left,mousedown,0
2026-04-22T04:18:05.056,634,964,left,mouseup,0
2026-04-22T04:18:06.093,1851,771,left,mousedown,0
2026-04-22T04:18:06.171,1851,771,left,mouseup,0
2026-04-22T04:18:06.677,1098,972,left,mousedown,0
2026-04-22T04:18:06.757,1115,960,left,mouseup,0
2026-04-22T04:18:07.136,1695,675,left,mousedown,0
2026-04-22T04:18:07.213,1695,675,left,mouseup,0
2026-04-22T04:18:07.789,824,933,left,mousedown,0
2026-04-22T04:18:07.851,825,932,left,mouseup,0
2026-04-22T04:18:08.440,1628,651,left,mousedown,0
2026-04-22T04:18:08.513,1628,651,left,mouseup,0
2026-04-22T04:18:09.034,1683,914,left,mousedown,0
2026-04-22T04:18:09.109,1683,914,left,mouseup,0
2026-04-22T04:18:15.157,1288,960,left,mousedown,0
2026-04-22T04:18:15.259,1293,962,left,mouseup,0
2026-04-22T04:18:15.609,1623,667,left,mousedown,0
2026-04-22T04:18:15.693,1623,667,left,mouseup,0
2026-04-22T04:18:16.204,1035,945,left,mousedown,0
2026-04-22T04:18:16.321,1048,931,left,mouseup,0
2026-04-22T04:18:16.818,1657,638,left,mousedown,0
2026-04-22T04:18:16.926,1657,638,left,mouseup,0
2026-04-22T04:18:20.493,926,435,left,mousedown,0
2026-04-22T04:18:20.592,926,435,left,mouseup,0
2026-04-22T04:18:20.867,927,502,left,mousedown,0
2026-04-22T04:18:21.064,927,500,left,mouseup,0
2026-04-22T04:18:21.181,931,433,left,mousedown,0
2026-04-22T04:18:21.249,931,433,left,mouseup,0
2026-04-22T04:18:32.812,951,690,left,mousedown,0
2026-04-22T04:18:32.912,953,693,left,mouseup,0
2026-04-22T04:18:33.549,1762,844,left,mousedown,0
2026-04-22T04:18:33.624,1762,844,left,mouseup,0
